post_id,persona_id,handle,created_at,post_type,visibility,source,title,body,metrics
P001-POST-001,P001,fin_p001_folio,2026-06-20T12:03:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 8.8% 달성,"{'like_count': 46, 'comment_count': 10, 'save_count': 1}"
P001-POST-002,P001,fin_p001_folio,2026-06-22T14:40:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 76,100원, 보유 종목 1개","{'like_count': 65, 'comment_count': 9, 'save_count': 16}"
P001-POST-003,P001,fin_p001_folio,2026-06-12T21:51:00+09:00,spend_pattern,followers,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 교통,"{'like_count': 19, 'comment_count': 7, 'save_count': 12}"
P002-POST-001,P002,fin_p002_daily,2026-06-13T15:51:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 10.5% 달성,"{'like_count': 68, 'comment_count': 13, 'save_count': 14}"
P002-POST-002,P002,fin_p002_daily,2026-06-29T17:57:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 39,100원, 보유 종목 1개","{'like_count': 5, 'comment_count': 14, 'save_count': 3}"
P002-POST-003,P002,fin_p002_daily,2026-06-18T11:13:00+09:00,spend_pattern,public,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 식비,"{'like_count': 55, 'comment_count': 1, 'save_count': 0}"
P003-POST-001,P003,fin_p003_flow,2026-06-14T16:50:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 34.8% 달성,"{'like_count': 66, 'comment_count': 11, 'save_count': 11}"
P003-POST-002,P003,fin_p003_flow,2026-06-13T13:48:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 193,200원, 보유 종목 2개","{'like_count': 6, 'comment_count': 7, 'save_count': 15}"
P003-POST-003,P003,fin_p003_flow,2026-06-08T23:03:00+09:00,spend_pattern,challenge_group,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 식비,"{'like_count': 60, 'comment_count': 7, 'save_count': 15}"
P004-POST-001,P004,fin_p004_save,2026-06-08T21:50:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 20.3% 달성,"{'like_count': 0, 'comment_count': 4, 'save_count': 17}"
P004-POST-002,P004,fin_p004_save,2026-06-27T21:10:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 696,200원, 보유 종목 2개","{'like_count': 52, 'comment_count': 1, 'save_count': 13}"
P005-POST-001,P005,fin_p005_daily,2026-06-14T18:09:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 41.4% 달성,"{'like_count': 69, 'comment_count': 5, 'save_count': 6}"
P005-POST-002,P005,fin_p005_daily,2026-06-09T09:35:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 429,100원, 보유 종목 1개","{'like_count': 29, 'comment_count': 14, 'save_count': 15}"
P005-POST-003,P005,fin_p005_daily,2026-06-14T21:31:00+09:00,spend_pattern,followers,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 19, 'comment_count': 5, 'save_count': 6}"
P006-POST-001,P006,fin_p006_flow,2026-06-29T15:38:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 4.8% 달성,"{'like_count': 6, 'comment_count': 2, 'save_count': 3}"
P006-POST-002,P006,fin_p006_flow,2026-06-09T09:15:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 285,200원, 보유 종목 2개","{'like_count': 80, 'comment_count': 14, 'save_count': 16}"
P006-POST-003,P006,fin_p006_flow,2026-06-15T20:43:00+09:00,spend_pattern,public,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 온라인쇼핑,"{'like_count': 61, 'comment_count': 5, 'save_count': 2}"
P007-POST-001,P007,fin_p007_folio,2026-06-13T19:57:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 8.8% 달성,"{'like_count': 49, 'comment_count': 5, 'save_count': 16}"
P007-POST-002,P007,fin_p007_folio,2026-06-24T19:17:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 115,100원, 보유 종목 1개","{'like_count': 14, 'comment_count': 4, 'save_count': 3}"
P007-POST-003,P007,fin_p007_folio,2026-06-16T20:55:00+09:00,spend_pattern,challenge_group,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 59, 'comment_count': 7, 'save_count': 18}"
P008-POST-001,P008,fin_p008_save,2026-06-08T11:48:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 25.4% 달성,"{'like_count': 0, 'comment_count': 6, 'save_count': 18}"
P008-POST-002,P008,fin_p008_save,2026-06-12T23:33:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 1,132,300원, 보유 종목 3개","{'like_count': 80, 'comment_count': 4, 'save_count': 5}"
P009-POST-001,P009,fin_p009_daily,2026-06-12T23:51:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 45.1% 달성,"{'like_count': 71, 'comment_count': 9, 'save_count': 1}"
P009-POST-002,P009,fin_p009_daily,2026-06-21T17:55:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 429,100원, 보유 종목 1개","{'like_count': 22, 'comment_count': 11, 'save_count': 4}"
P009-POST-003,P009,fin_p009_daily,2026-06-29T21:33:00+09:00,spend_pattern,public,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 32, 'comment_count': 5, 'save_count': 16}"
P010-POST-001,P010,fin_p010_folio,2026-06-13T21:54:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 41.1% 달성,"{'like_count': 78, 'comment_count': 4, 'save_count': 17}"
P010-POST-002,P010,fin_p010_folio,2026-06-14T21:32:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 1,773,300원, 보유 종목 3개","{'like_count': 3, 'comment_count': 6, 'save_count': 13}"
P010-POST-003,P010,fin_p010_folio,2026-06-30T11:18:00+09:00,spend_pattern,challenge_group,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 68, 'comment_count': 12, 'save_count': 6}"
P011-POST-001,P011,fin_p011_flow,2026-06-25T18:55:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 5.2% 달성,"{'like_count': 7, 'comment_count': 11, 'save_count': 13}"
P011-POST-002,P011,fin_p011_flow,2026-06-18T14:09:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 76,100원, 보유 종목 1개","{'like_count': 45, 'comment_count': 2, 'save_count': 11}"
P011-POST-003,P011,fin_p011_flow,2026-06-11T12:15:00+09:00,spend_pattern,public,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 식비,"{'like_count': 30, 'comment_count': 14, 'save_count': 4}"
P012-POST-001,P012,fin_p012_folio,2026-06-10T17:31:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 12.1% 달성,"{'like_count': 35, 'comment_count': 9, 'save_count': 5}"
P013-POST-001,P013,fin_p013_save,2026-06-15T09:04:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 11.3% 달성,"{'like_count': 29, 'comment_count': 2, 'save_count': 18}"
P013-POST-002,P013,fin_p013_save,2026-06-18T19:38:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 76,100원, 보유 종목 1개","{'like_count': 28, 'comment_count': 14, 'save_count': 13}"
P013-POST-003,P013,fin_p013_save,2026-06-21T10:35:00+09:00,spend_pattern,followers,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 1, 'comment_count': 0, 'save_count': 19}"
P014-POST-001,P014,fin_p014_flow,2026-06-24T12:24:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 13.0% 달성,"{'like_count': 47, 'comment_count': 0, 'save_count': 1}"
P014-POST-002,P014,fin_p014_flow,2026-06-24T10:53:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 115,100원, 보유 종목 1개","{'like_count': 59, 'comment_count': 11, 'save_count': 17}"
P014-POST-003,P014,fin_p014_flow,2026-06-23T15:17:00+09:00,spend_pattern,public,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 식비,"{'like_count': 59, 'comment_count': 9, 'save_count': 13}"
P015-POST-001,P015,fin_p015_folio,2026-06-26T18:02:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 12.2% 달성,"{'like_count': 46, 'comment_count': 13, 'save_count': 9}"
P015-POST-002,P015,fin_p015_folio,2026-06-13T09:02:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 285,200원, 보유 종목 2개","{'like_count': 38, 'comment_count': 2, 'save_count': 12}"
P015-POST-003,P015,fin_p015_folio,2026-06-10T18:30:00+09:00,spend_pattern,public,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 식비,"{'like_count': 9, 'comment_count': 11, 'save_count': 5}"
P016-POST-001,P016,fin_p016_daily,2026-06-19T17:04:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 8.5% 달성,"{'like_count': 72, 'comment_count': 7, 'save_count': 18}"
P016-POST-002,P016,fin_p016_daily,2026-06-07T10:39:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 76,100원, 보유 종목 1개","{'like_count': 4, 'comment_count': 10, 'save_count': 8}"
P016-POST-003,P016,fin_p016_daily,2026-06-28T14:12:00+09:00,spend_pattern,public,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 23, 'comment_count': 2, 'save_count': 19}"
P017-POST-001,P017,fin_p017_daily,2026-06-27T21:42:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 19.7% 달성,"{'like_count': 63, 'comment_count': 11, 'save_count': 14}"
P017-POST-002,P017,fin_p017_daily,2026-06-15T17:41:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 78,100원, 보유 종목 1개","{'like_count': 67, 'comment_count': 2, 'save_count': 9}"
P017-POST-003,P017,fin_p017_daily,2026-06-22T17:32:00+09:00,spend_pattern,followers,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 11, 'comment_count': 7, 'save_count': 4}"
P018-POST-001,P018,fin_p018_save,2026-06-21T12:28:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 9.9% 달성,"{'like_count': 6, 'comment_count': 9, 'save_count': 7}"
P018-POST-002,P018,fin_p018_save,2026-06-07T19:32:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 76,100원, 보유 종목 1개","{'like_count': 58, 'comment_count': 6, 'save_count': 17}"
P019-POST-001,P019,fin_p019_folio,2026-06-10T21:18:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 19.4% 달성,"{'like_count': 20, 'comment_count': 5, 'save_count': 20}"
P019-POST-002,P019,fin_p019_folio,2026-06-19T12:01:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 76,100원, 보유 종목 1개","{'like_count': 28, 'comment_count': 12, 'save_count': 11}"
P020-POST-001,P020,fin_p020_flow,2026-06-08T12:10:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 8.7% 달성,"{'like_count': 62, 'comment_count': 1, 'save_count': 14}"
P020-POST-002,P020,fin_p020_flow,2026-06-27T20:36:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 160,200원, 보유 종목 2개","{'like_count': 8, 'comment_count': 0, 'save_count': 12}"
P020-POST-003,P020,fin_p020_flow,2026-06-08T10:32:00+09:00,spend_pattern,followers,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 67, 'comment_count': 4, 'save_count': 8}"
P021-POST-001,P021,fin_p021_flow,2026-06-10T21:59:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 16.2% 달성,"{'like_count': 42, 'comment_count': 3, 'save_count': 11}"
P021-POST-002,P021,fin_p021_flow,2026-06-08T10:34:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 76,100원, 보유 종목 1개","{'like_count': 14, 'comment_count': 9, 'save_count': 14}"
P022-POST-001,P022,fin_p022_save,2026-06-13T17:11:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 15.2% 달성,"{'like_count': 47, 'comment_count': 13, 'save_count': 17}"
P022-POST-002,P022,fin_p022_save,2026-06-27T12:36:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 426,200원, 보유 종목 2개","{'like_count': 45, 'comment_count': 13, 'save_count': 1}"
P023-POST-001,P023,fin_p023_save,2026-06-13T19:34:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 8.6% 달성,"{'like_count': 3, 'comment_count': 2, 'save_count': 16}"
P023-POST-002,P023,fin_p023_save,2026-06-25T18:15:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 230,200원, 보유 종목 2개","{'like_count': 0, 'comment_count': 14, 'save_count': 1}"
P023-POST-003,P023,fin_p023_save,2026-06-20T18:07:00+09:00,spend_pattern,followers,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 식비,"{'like_count': 63, 'comment_count': 7, 'save_count': 8}"
P024-POST-001,P024,fin_p024_flow,2026-06-24T08:24:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 14.9% 달성,"{'like_count': 40, 'comment_count': 10, 'save_count': 2}"
P024-POST-002,P024,fin_p024_flow,2026-06-21T14:26:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 39,100원, 보유 종목 1개","{'like_count': 53, 'comment_count': 6, 'save_count': 17}"
P025-POST-001,P025,fin_p025_flow,2026-06-28T20:56:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 7.4% 달성,"{'like_count': 72, 'comment_count': 0, 'save_count': 1}"
P025-POST-002,P025,fin_p025_flow,2026-06-15T15:22:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 203,200원, 보유 종목 2개","{'like_count': 74, 'comment_count': 6, 'save_count': 12}"
P025-POST-003,P025,fin_p025_flow,2026-06-29T09:41:00+09:00,spend_pattern,challenge_group,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 교통,"{'like_count': 32, 'comment_count': 3, 'save_count': 16}"
P026-POST-001,P026,fin_p026_young,2026-06-12T23:17:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 5.5% 달성,"{'like_count': 7, 'comment_count': 10, 'save_count': 15}"
P027-POST-001,P027,fin_p027_folio,2026-06-13T16:17:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 13.9% 달성,"{'like_count': 71, 'comment_count': 14, 'save_count': 12}"
P027-POST-002,P027,fin_p027_folio,2026-06-25T23:38:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 590,200원, 보유 종목 2개","{'like_count': 72, 'comment_count': 13, 'save_count': 9}"
P027-POST-003,P027,fin_p027_folio,2026-06-16T18:25:00+09:00,spend_pattern,public,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 식비,"{'like_count': 5, 'comment_count': 2, 'save_count': 15}"
P028-POST-001,P028,fin_p028_save,2026-06-19T23:58:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 14.1% 달성,"{'like_count': 3, 'comment_count': 5, 'save_count': 18}"
P028-POST-002,P028,fin_p028_save,2026-06-18T14:14:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 76,100원, 보유 종목 1개","{'like_count': 27, 'comment_count': 4, 'save_count': 5}"
P028-POST-003,P028,fin_p028_save,2026-06-21T16:51:00+09:00,spend_pattern,challenge_group,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 교통,"{'like_count': 48, 'comment_count': 10, 'save_count': 12}"
P029-POST-001,P029,fin_p029_save,2026-06-28T19:32:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 6.6% 달성,"{'like_count': 70, 'comment_count': 11, 'save_count': 2}"
P029-POST-002,P029,fin_p029_save,2026-06-12T23:17:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 36,100원, 보유 종목 1개","{'like_count': 48, 'comment_count': 3, 'save_count': 12}"
P029-POST-003,P029,fin_p029_save,2026-06-22T16:53:00+09:00,spend_pattern,challenge_group,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 75, 'comment_count': 8, 'save_count': 16}"
P030-POST-001,P030,fin_p030_flow,2026-06-24T09:44:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 8.9% 달성,"{'like_count': 38, 'comment_count': 6, 'save_count': 1}"
P030-POST-002,P030,fin_p030_flow,2026-06-11T11:36:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 76,100원, 보유 종목 1개","{'like_count': 27, 'comment_count': 7, 'save_count': 16}"
P030-POST-003,P030,fin_p030_flow,2026-06-07T09:25:00+09:00,spend_pattern,public,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 16, 'comment_count': 7, 'save_count': 7}"
P031-POST-001,P031,fin_p031_flow,2026-06-13T21:25:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 4.9% 달성,"{'like_count': 31, 'comment_count': 6, 'save_count': 12}"
P031-POST-002,P031,fin_p031_flow,2026-06-25T08:22:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 39,100원, 보유 종목 1개","{'like_count': 60, 'comment_count': 1, 'save_count': 13}"
P031-POST-003,P031,fin_p031_flow,2026-06-24T11:20:00+09:00,spend_pattern,challenge_group,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 73, 'comment_count': 9, 'save_count': 8}"
P032-POST-001,P032,fin_p032_young,2026-06-18T18:41:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 9.3% 달성,"{'like_count': 18, 'comment_count': 0, 'save_count': 0}"
P034-POST-001,P034,fin_p034_folio,2026-06-22T11:11:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 5.0% 달성,"{'like_count': 21, 'comment_count': 0, 'save_count': 2}"
P034-POST-002,P034,fin_p034_folio,2026-06-18T19:39:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 115,100원, 보유 종목 1개","{'like_count': 26, 'comment_count': 9, 'save_count': 10}"
P035-POST-001,P035,fin_p035_daily,2026-06-18T14:38:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 9.8% 달성,"{'like_count': 52, 'comment_count': 11, 'save_count': 8}"
P035-POST-002,P035,fin_p035_daily,2026-06-12T13:33:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 39,100원, 보유 종목 1개","{'like_count': 20, 'comment_count': 6, 'save_count': 16}"
P035-POST-003,P035,fin_p035_daily,2026-06-16T11:04:00+09:00,spend_pattern,public,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 카페/간식,"{'like_count': 7, 'comment_count': 7, 'save_count': 15}"
P036-POST-001,P036,fin_p036_young,2026-06-18T11:29:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 6.2% 달성,"{'like_count': 47, 'comment_count': 8, 'save_count': 6}"
P036-POST-002,P036,fin_p036_young,2026-06-14T12:44:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 115,100원, 보유 종목 1개","{'like_count': 41, 'comment_count': 5, 'save_count': 18}"
P036-POST-003,P036,fin_p036_young,2026-06-19T23:13:00+09:00,spend_pattern,challenge_group,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 11, 'comment_count': 11, 'save_count': 19}"
P039-POST-001,P039,fin_p039_daily,2026-06-24T11:51:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 11.1% 달성,"{'like_count': 0, 'comment_count': 9, 'save_count': 9}"
P039-POST-002,P039,fin_p039_daily,2026-06-15T19:50:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 76,100원, 보유 종목 1개","{'like_count': 6, 'comment_count': 7, 'save_count': 3}"
P040-POST-001,P040,fin_p040_young,2026-06-09T18:21:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 4.3% 달성,"{'like_count': 12, 'comment_count': 11, 'save_count': 9}"
P040-POST-002,P040,fin_p040_young,2026-06-28T13:26:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 39,100원, 보유 종목 1개","{'like_count': 35, 'comment_count': 11, 'save_count': 6}"
